Algorithm,Accuracy (%),Precision (%),Recall (%),F1-Score (%)
Random Forest,92.07,91.63,92.64,92.13
K-Nearest Neighbors (KNN),89.59,87.36,92.64,89.92
Decision Tree,88.83,87.68,90.42,89.03
SVM (Support Vector Machine),82.01,84.72,78.23,81.34
Logistic Regression,79.74,83.85,73.79,78.5
